MOOD,MOOD_NOTE,support_message
marah,Aku merasa sedikit iri pada orang-orang yang duduk santai di kedai kopi seperti di pagi hari.,"Aku paham banget kenapa kamu merasa sekesal ini, wajar kalau kamu marah karena situasinya memang nggak adil. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
bahagia,Aku merasa aku begitu terikat pada begitu banyak hal lain sehingga waktuku terbagi dengan tidak teratur.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Aku sedang berada dalam suasana hati Sam yang penuh kecemasan, suara Jensen yang menyanyikan lagu Bon Jovi membuatku merasa sangat bergairah.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
marah,Saya menyebutkan bahwa saya sedang merasa kesal.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
sedih,Saya memiliki ibu mertua yang luar biasa yang dalam segala hal telah seperti ibu bagi saya selama bertahun-tahun. Seringkali saya merasa sedikit melankolis di Hari Ibu.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,"Aku belum yakin bagaimana perasaanku terhadapnya. Dia tampak agak linglung dan tidak fokus, tetapi kami memutuskan untuk memberinya waktu hingga akhir minggu untuk membuktikan dirinya kepada kami.","Aku paham banget kenapa kamu merasa sekesal ini, wajar kalau kamu marah karena situasinya memang nggak adil. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
sedih,"Aku tahu sudah lama sekali dan aku merasa sangat menyedihkan mengapa aku harus merasa seperti ini, tapi memang begitulah adanya.","Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
marah,"Aku jelas merasakan perubahannya, tapi aku menolak untuk merasa tidak sabar menghadapinya.","Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
bahagia,"Saya pernah memposting tentang perasaan seperti seorang ibu super karena saya berhasil mengurus diri sendiri, anak-anak saya, tunangan saya, dan rumah saya selama satu hari sambil bekerja dan kurang tidur.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
sedih,Aku merasa tidak berharga karena membiarkan hal itu terjadi.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
cemas,Aku juga sedikit keluar dari zona nyamanku dan aku merasa agak khawatir.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
bahagia,Aku merasa wangi setelah menggunakannya.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
bahagia,"Aku merasa seperti sedang dimanfaatkan secara berlebihan saat ini, padahal siapa pun yang mengenalku tahu bahwa aku bukan orang yang mudah dimanfaatkan. Aku murah hati dan selalu memberi kesempatan kedua, tapi bukan orang yang mudah ditipu.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
cemas,"Aku bisa merasakan bahwa dia merasa tidak nyaman ketika datang untuk mengantarkan surat itu, tetapi aku bersedia menganggapnya sebagai perasaan aneh karena bersikap begitu romantis dan rentan.","Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Nggak perlu buru-buru cari semua jawaban sekarang, pelan-pelan aja dan aku bakal temenin kamu."
bahagia,Saya sudah tidak lagi merasa senang mendapatkan nilai bagus.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,Aku merasa lebih nyaman di dalam air.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Menurut saya, tongkat paling berguna jika digunakan berpasangan. Semua harga dan statistik dalam ulasan ini adalah untuk dua tongkat.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,"Aku punya rencana besar untuk membuat kue selama dua hari liburku, tapi akhirnya aku hanya meringkuk di sofa sambil merajuk karena merasa tidak enak badan.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,"Aku tidak sanggup langsung menulis tentang hal itu di blog, terutama karena aku merasa sangat malu dan patah hati.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
sedih,Saya merasa sedih jika orang-orang membuat pernyataan seperti ini.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
cemas,"Aku merasa seperti orang yang paranoid dan menyebalkan, padahal sebenarnya dia akan berbicara seperti itu kepada siapa saja.","Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
bahagia,saat aku bertemu keluargaku setelah berpisah selama satu tahun,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
marah,Saya merasa frustrasi atau tidak sabar.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
sedih,Aku meninggalkan tempat itu dengan perasaan patah hati.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
sedih,Aku merasa sedikit hancur karena aku benar-benar berpikir ini adalah akhirnya dan semua yang telah kulalui untuk hubungan ini akan sepadan.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
marah,Saya merasa mereka hanya mengatakan hal-hal ini karena mereka tidak ingin setuju dengan saya dan bersikap kasar.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,"Aku benar-benar ingin memotongnya, aku merasa ini sangat disayangkan dan membuatku patah hati.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
marah,Aku merasa aku cukup gila.,"Aku paham banget kenapa kamu merasa sekesal ini, wajar kalau kamu marah karena situasinya memang nggak adil. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
sedih,"Aku sedang berusaha mengejar bus, jelasku sambil merasa sangat bodoh.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
cemas,"Aku tidak merasa dia terlalu pemalu, melainkan lebih seperti sedang menyerap semuanya, seperti yang digambarkan ibunya.","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
cemas,Saya benar-benar kagum bagaimana mereka bisa melakukan itu.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
sedih,"Saya percaya pada keberuntungan dan ketika keberuntungan tidak berpihak pada saya, saya merasa kalah dan terkadang kesal.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,Aku merasakannya dan itu benar-benar tidak apa-apa.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,"Saya sempat mengobrol dengan Rustie Dean dari kota asal saya, Moose Jaw, dan semua orang membuat saya merasa sangat diterima dan nyaman.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,Aku sebenarnya merasa semuanya akan baik-baik saja.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
marah,Saya merasa iri pada rekan kerja saya yang sedang hamil.,"Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
sedih,"Seharusnya aku berada di pub, tetapi malah aku tinggal di rumah merasa murung dan depresi.","Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,Aku bisa terjaga sepanjang malam dengan perasaan penuh energi dan semangat.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
sedih,"Aku tak bisa mengendalikan perasaanku, maafkan aku.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
bahagia,"Aku merasa tertipu, dipermainkan, dan sekarang lega.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,"Aku merasa sangat anggun malam ini, sayang.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,"Aku merasa canggung, aku tak bisa menahan rasa takut ini dan aku merasa mengecewakan Samuel karena takut.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
cemas,Aku terbangun dengan perasaan sangat gelisah dan menyadari sesuatu yang mengerikan akan segera terjadi.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
sedih,"Namun, saya merasa sedikit menyesal sekarang karena saya tahu bagaimana hal itu merusak kemampuan saya untuk menyusui.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,"Aku bisa merasakan apa yang dia rasakan, tapi tidak sepenuhnya karena ini adalah saudara laki-lakinya sendiri yang sangat dicintai.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
cemas,Aku masih merasa sedikit terkejut dengan pengalaman yang kualami malam ini saat menonton film.,"Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
bahagia,"Saya sangat menantikan untuk melanjutkan tantangan ini dan merasa sangat bersyukur atas dorongan untuk mengatur nutrisi saya agar tetap sehat, terutama selama kehamilan saya, waktu terpenting dalam hidup saya untuk makan sehat.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,"Aku sudah memutuskan bahwa mantan yang pernah membuatmu memiliki perasaan yang sangat kuat, entah itu cinta atau hanya sangat peduli, tidak bisa hanya berteman saja karena pada akhirnya akan menjadi bumerang bagimu.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,"Yang paling saya sukai dari kacamata ini adalah bentuk lensa yang sedikit menyerupai mata kucing, kacamata ini langsung membuat saya merasa seperti Audrey Hepburn di film Breakfast at Tiffany's, sangat glamor, dan tentu saja, kotak kacamatanya yang cantik juga menjadi nilai tambah.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
cemas,"Saya berhenti belajar atau jika saya merasa terhambat, kinerja saya menurun.","Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
marah,"Aku merasa telah diperlakukan tidak adil. Untungnya aku berhasil mengendalikan diri dan tidak mengeluh atau membicarakan hal buruk tentang temanku, baik secara online di Facebook maupun secara langsung.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
sedih,"Aku bisa melewati masa-masa menangis karenanya, terkadang aku merasa kesal karenanya.","Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,"Aku sebenarnya tidak ingin pergi, tetapi aku tidak pergi sebelum mengucapkan terima kasih kepada orang tuanya karena telah mempercayaiku untuk menginap dan itu membuatku merasa mereka menghargaiku.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Saya mendengarkannya dan merasa tenang dan bahagia, dan siapa yang tidak membutuhkan banyak hal seperti itu dalam hidup mereka?","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,i amos melakukan pekerjaan yang sangat indah dalam mengadaptasi lagu cohen dan bahkan aransemen dasarnya dengan permainan pianonya sendiri sehingga menurut saya ini terasa lebih seperti upaya artistik daripada sekadar memberi penghormatan.,"Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
marah,Saya merasa ruang kelas sangat berbahaya.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
sedih,"Aku memang memulai kembali galeri fotoku, tapi itu hanya karena aku merasa sangat percaya diri dan cantik saat itu.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,"Aku perlu menemukan cara untuk mengatasi ini, namun aku merasa putus asa.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,"Aku akhirnya mendapat perhatian yang tidak diinginkan dari cowok-cowok yang sebenarnya tidak ingin kudekati, atau aku mulai menjalin hubungan dengan seorang cowok lalu malah menggoda cowok lain di hadapannya, atau aku merasa sangat tidak tulus di sekitar cowok-cowok yang kusukai.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
cemas,Saya sudah membaca beberapa halaman dan masih merasa ragu. Saya merasa telah membuang waktu dan tidak dapat memahami argumen utamanya.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
sedih,Aku merasa sisa tahun ini akan terasa hambar karena kecintaanku pada yang pertama ini.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,"Aku temanmu, lalu mengapa terkadang aku merasa tersinggung di dekatmu?","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,"Saya merasa lebih terhambat untuk berlatih selama sesi publik dibandingkan dengan sesi pelajaran, tetapi setiap waktu di atas es adalah waktu yang baik.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
sedih,Saya sering merasa tidak cukup baik jika saya tidak mencapai kesempurnaan dalam hal apa pun yang saya tetapkan sebagai harapan saya atau apa yang saya anggap sebagai harapan orang lain.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
marah,Aku sudah bisa merasakan puisi emo yang penuh siksaan akan segera muncul.,"Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
bahagia,Saya ingin acara ini terasa istimewa bagi semua tamu yang dipilih Alise dan Jeremy.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
cemas,"Saya merasa kewalahan oleh tanggung jawab harian, oleh harapan keluarga dan pekerjaan, oleh tuntutan waktu saya, oleh kelelahan fisik saya, oleh perasaan bahwa beban saya akan mengalahkan saya, oleh kesulitan keuangan.","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
sedih,"Aku sudah terbiasa, tapi tetap saja membuatku merasa hampa.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
cemas,Aku hanya merasa anehnya bimbang dan juga karena aku sebenarnya tidak percaya itu,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
sedih,Aku sering merasa kehilangan di sini karena semua teman kita sepertinya meninggalkan kita dan pindah.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
cemas,Aku ingin menulis sesuatu yang membuatmu merasakan hiruk pikuk kehidupan malam yang dipicu oleh penggunaan narkoba jenis speed.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Nggak perlu buru-buru cari semua jawaban sekarang, pelan-pelan aja dan aku bakal temenin kamu."
cemas,Saya suka malam-malam musim panas yang panjang di mana Anda bisa memotret hingga larut malam tanpa merasa tertekan seperti halnya dengan jam siang yang pendek di musim dingin.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
cemas,"Aku akui bahwa dengan semua pikiran yang berkecamuk di kepalaku, terkadang aku merasa ragu karena aku takut.","Nggak apa-apa merasa gugup, itu tanda kalau kamu peduli sama hal yang lagi kamu hadapi ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
sedih,Aku merasa lelah sekaligus sangat gembira untuknya dan perjalanan barunya.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Seharusnya aku merasa bersemangat untuk segera mengambil kain dari tumpukan kain dan membuat sesuatu.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,"Aku perlu merasa bahwa aku diterima, bahwa aku berharga, dan bahwa aku dicintai.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,Saya merasa benar-benar aman.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,Saya merasa sangat terhormat dan untungnya saya bisa mengirim kartu pos.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Aku merasa sangat menyesal karena telah membentaknya.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
marah,"Saya hendak menghadiri kuliah, dan sekali lagi kuliah tersebut dibatalkan.","Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
marah,"Menurutku, meludahi seseorang adalah bentuk penghinaan paling keji yang bisa dilakukan,"" katanya.","Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
marah,Aku benar-benar merasa marah.,"Aku paham banget kenapa kamu merasa sekesal ini, wajar kalau kamu marah karena situasinya memang nggak adil. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
cemas,Aku mulai merasa penasaran dan mencoba memahami siapa diriku di balik kesombonganku dan mengapa aku menjadi seperti ini.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
bahagia,Saya merasa puas dengan performa mobil saya.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
cemas,"Aku merasa sangat terkesan, kupikir anak-anak ini jauh lebih muda dariku, jadi boleh kukatakan mereka anak-anak kan?","Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
cemas,Aku minum secangkir kopi dan sekarang aku merasa gugup dan aneh.,"Nggak apa-apa merasa gugup, itu tanda kalau kamu peduli sama hal yang lagi kamu hadapi ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
bahagia,Aku baru saja merasa sangat kesal karena suatu situasi dan sekarang aku merasa harus menulis untuk menenangkan diri lol,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
marah,"Aku fokus pada ketidakadilan, amarahku meningkat dan aku merasa frustrasi karena aku tahu aku tidak bisa mengubah keadaan sendirian.","Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
sedih,Aku merasa sangat bersalah karena tidak bekerja selama musim panas ini. Akhirnya aku bisa beristirahat dengan tenang dan bersantai.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
cemas,"Aku mengerti perasaanmu, aku juga tidak bisa mengonsumsi lebih dari mg Seroquel karena sindrom kaki gelisah membuatku terjaga sepanjang malam.","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
